iter	RMSE
0	8.731034302
1	8.299480235
2	7.852394019
3	7.438055446
4	7.050038018
5	6.695027158
6	6.340476058
7	6.041034311
8	5.802629096
9	5.552232423
10	5.352029732
11	5.142105327
12	4.97382014
13	4.798284019
14	4.651382227
15	4.550912805
16	4.420928455
17	4.295665011
18	4.198291275
19	4.096149804
20	3.996873766
21	3.894978674
22	3.815716038
23	3.72350337
24	3.654432064
25	3.599100448
26	3.547634939
27	3.521368795
28	3.462272314
29	3.421645965
30	3.381926991
31	3.343039418
32	3.296711844
33	3.235982143
34	3.210073316
35	3.18231882
36	3.129265864
37	3.100674467
38	3.060839615
39	3.039190061
40	3.02615553
41	3.004115143
42	2.980932272
43	2.954715341
44	2.949683945
45	2.937790223
46	2.915387648
47	2.906346147
48	2.899634049
49	2.883261831
50	2.864870273
51	2.849463674
52	2.82663406
53	2.800907672
54	2.781752019
55	2.756106559
56	2.738255588
57	2.719532875
58	2.713238785
59	2.709887274
60	2.69219522
61	2.666060953
62	2.655974337
63	2.638043018
64	2.63416437
65	2.623736766
66	2.612354406
67	2.603640689
68	2.593542044
69	2.580170152
70	2.56744464
71	2.559179386
72	2.547041697
73	2.542870696
74	2.531298381
75	2.520586887
76	2.500726316
77	2.493320653
78	2.48221013
79	2.470966571
80	2.467907331
81	2.458253107
82	2.451446239
83	2.43634975
84	2.420436343
85	2.409958207
86	2.397326537
87	2.387314313
88	2.373428842
89	2.370904017
90	2.359621478
91	2.355957977
92	2.345528174
93	2.335549005
94	2.323753571
95	2.3091792
96	2.299231971
97	2.290099368
98	2.281555944
99	2.273682226
100	2.265444505
101	2.257590039
102	2.240397003
103	2.236189529
104	2.227582605
105	2.217332037
106	2.211888618
107	2.199980961
108	2.194895146
109	2.180110504
110	2.167333479
111	2.161417498
112	2.150546636
113	2.135866718
114	2.128297745
115	2.118198189
116	2.110114093
117	2.098516748
118	2.089662365
119	2.081375725
120	2.075824086
121	2.065261792
122	2.06217119
123	2.050934979
124	2.040848375
125	2.036190975
126	2.027025476
127	2.019028062
128	2.010729927
129	2.00159728
130	1.991133192
131	1.98320441
132	1.976368578
133	1.969785975
134	1.960918457
135	1.953995478
136	1.94505337
137	1.934758629
138	1.924540024
139	1.917288685
140	1.907353852
141	1.895168827
142	1.887058609
143	1.877366087
144	1.873003909
145	1.86662523
146	1.860951387
147	1.856013685
148	1.849256849
149	1.847186161
150	1.840454736
151	1.831588295
152	1.827441523
153	1.825287035
154	1.811710649
155	1.799766004
156	1.794448862
157	1.789859757
158	1.783866448
159	1.775016125
160	1.770811182
161	1.764577832
162	1.759848673
163	1.756268593
164	1.745996842
165	1.740390758
166	1.729560482
167	1.720863815
168	1.71742142
169	1.707808525
170	1.700241407
171	1.695616844
172	1.686684214
173	1.680557969
174	1.67328254
175	1.665247248
176	1.656204477
177	1.648153923
178	1.640303805
179	1.629988566
180	1.624679562
181	1.619427061
182	1.615495251
183	1.614012417
184	1.607535626
185	1.60081059
186	1.593170764
187	1.587147067
188	1.581887927
189	1.578264556
190	1.570349829
191	1.563983191
192	1.559056818
193	1.551271894
194	1.549850367
195	1.54116985
196	1.534976293
197	1.529131299
198	1.523739687
199	1.521291965
