iter	Passed	Remaining
0	54	10765
1	54	5385
2	54	3585
3	54	2684
4	55	2145
5	55	1785
6	55	1528
7	55	1337
8	55	1187
9	56	1067
10	56	968
11	56	885
12	56	816
13	57	765
14	57	713
15	58	668
16	58	628
17	58	591
18	58	559
19	58	530
20	59	504
21	59	480
22	59	458
23	59	438
24	59	419
25	60	402
26	60	386
27	60	372
28	60	358
29	60	345
30	61	333
31	61	322
32	61	311
33	61	302
34	62	292
35	62	284
36	62	275
37	62	267
38	62	259
39	63	252
40	63	246
41	63	239
42	63	233
43	64	227
44	64	221
45	64	216
46	64	211
47	65	206
48	65	201
49	65	196
50	65	192
51	65	187
52	66	183
53	66	179
54	66	175
55	66	171
56	67	168
57	67	164
58	67	161
59	67	158
60	67	154
61	68	151
62	68	149
63	69	146
64	69	143
65	69	141
66	69	138
67	69	135
68	70	133
69	70	130
70	70	128
71	70	125
72	70	123
73	71	121
74	71	119
75	71	116
76	71	114
77	72	112
78	72	110
79	72	108
80	72	106
81	72	104
82	73	103
83	73	101
84	73	99
85	73	97
86	73	96
87	74	94
88	74	92
89	74	91
90	74	89
91	74	88
92	75	86
93	75	85
94	75	83
95	75	82
96	76	80
97	76	79
98	76	78
99	76	76
100	76	75
101	77	74
102	77	72
103	77	71
104	77	70
105	78	69
106	78	67
107	78	66
108	78	65
109	78	64
110	79	63
111	79	62
112	79	61
113	79	60
114	79	59
115	80	57
116	80	56
117	80	55
118	80	54
119	80	53
120	81	53
121	81	52
122	81	51
123	81	50
124	82	49
125	82	48
126	82	47
127	82	46
128	82	45
129	83	45
130	84	44
131	84	43
132	84	42
133	84	41
134	85	40
135	85	40
136	85	39
137	85	38
138	86	37
139	86	37
140	86	36
141	87	35
142	87	34
143	87	34
144	87	33
145	88	32
146	88	31
147	88	31
148	88	30
149	89	29
150	89	28
151	89	28
152	89	27
153	89	26
154	90	26
155	90	25
156	90	24
157	90	24
158	90	23
159	91	22
160	91	22
161	91	21
162	91	20
163	92	20
164	92	19
165	92	18
166	92	18
167	92	17
168	93	17
169	93	16
170	93	15
171	93	15
172	93	14
173	94	14
174	94	13
175	94	12
176	94	12
177	95	11
178	95	11
179	95	10
180	95	10
181	95	9
182	96	8
183	96	8
184	96	7
185	96	7
186	96	6
187	97	6
188	97	5
189	97	5
190	97	4
191	98	4
192	98	3
193	98	3
194	98	2
195	98	2
196	99	1
197	99	1
198	99	0
199	99	0
